DRG Definition,Provider ID,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,from the Outpatient_Data_2017_XLSX,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote
638 - DIABETES W CC,330182,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NY - East Long Island,18,43451.33,6001.22,5122.11,,"ST FRANCIS HOSPITAL, ROSLYN",100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576.0,NASSAU,5165626000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,4.0,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330185,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777,NY - East Long Island,34,40870.76,7175.26,6039.03,,JOHN T MATHER MEMORIAL HOSPITAL  OF PORT JEFFERSON,75 NORTH COUNTRY ROAD,PORT JEFFERSON,NY,11777.0,SUFFOLK,6314731320.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,Above the national average,,Below the national average,,Below the national average,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330193,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355,NY - East Long Island,16,23753.88,11632.44,9709.94,,FLUSHING HOSPITAL MEDICAL CENTER,45TH AVENUE AND PARSONS BOULEVARD,FLUSHING,NY,11355.0,QUEENS,7186705000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.
638 - DIABETES W CC,330195,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040,NY - East Long Island,107,48416.82,11118.98,9003.08,,LONG ISLAND JEWISH MEDICAL CENTER,270 - 05 76TH AVENUE,NEW HYDE PARK,NY,11040.0,QUEENS,7184707000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330198,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572,NY - East Long Island,31,42719.48,7214.03,6117.9,,SOUTH NASSAU COMMUNITIES HOSPITAL,ONE HEALTHY WAY,OCEANSIDE,NY,11572.0,NASSAU,5166323000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330231,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,NY,11432,NY - East Long Island,21,26969.57,14418.19,12805.62,,QUEENS HOSPITAL CENTER,82-68 164TH STREET,JAMAICA,NY,11432.0,QUEENS,7188833000.0,Acute Care Hospitals,Government - Local,Yes,Y,1.0,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.
638 - DIABETES W CC,330246,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777,NY - East Long Island,11,57950.09,7157.36,6281.0,,ST CHARLES HOSPITAL,200 BELLE TERRE ROAD,PORT JEFFERSON,NY,11777.0,SUFFOLK,6314746000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330259,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570,NY - East Long Island,29,42317.24,6796.0,5867.86,,MERCY MEDICAL CENTER,1000 NORTH VILLAGE AVENUE,ROCKVILLE CENTRE,NY,11570.0,NASSAU,5167052525.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,1.0,,Same as the national average,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330286,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795,NY - East Long Island,74,51347.96,7309.2,5936.04,,GOOD SAMARITAN HOSPITAL MEDICAL CENTER,1000 MONTAUK HIGHWAY,WEST ISLIP,NY,11795.0,SUFFOLK,6313763000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,1.0,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330331,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803,NY - East Long Island,11,27280.09,8153.82,5254.73,,PLAINVIEW HOSPITAL,888 OLD COUNTRY ROAD,PLAINVIEW,NY,11803.0,NASSAU,5167193000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330332,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NY - East Long Island,31,39953.55,6071.68,4801.42,,ST JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714.0,NASSAU,5165796000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2.0,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,
638 - DIABETES W CC,330340,UNIVERSITY HOSPITAL -  STONY BROOK SOUTHAMPTON,240 MEETING HOUSE LANE,SOUTHAMPTON,NY,11968,NY - East Long Island,20,28990.8,9285.65,7504.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638 - DIABETES W CC,330393,UNIVERSITY HOSPITAL AT STONY BROOK,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794,NY - East Long Island,61,55724.36,13055.34,9300.28,,UNIVERSITY HOSPITAL AT STONY BROOK,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794.0,SUFFOLK,6314444000.0,Acute Care Hospitals,Government - State,Yes,Y,2.0,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
638 - DIABETES W CC,330395,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691,NY - East Long Island,35,42110.03,12332.54,9136.69,,ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,327 BEACH 19TH STREET,FAR ROCKAWAY,NY,11691.0,QUEENS,7188697000.0,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,1.0,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.
638 - DIABETES W CC,330401,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787,NY - East Long Island,22,39155.95,5970.82,5076.09,,ST CATHERINE OF SIENA HOSPITAL,50 ROUTE 25A,SMITHTOWN,NY,11787.0,SUFFOLK,6318623000.0,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3.0,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,
