DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330027,NASSAU UNIVERSITY MEDICAL CENTER,EAST MEADOW,NY,11554,Government - Local,14,65600.43,24575.57,22447.43,suburban,2,middle income,2,402000,92311,38132,6103,East Meadow,NY,1,1,1,1,1,1,2,1,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,NASSAU UNIVERSITY MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330028,RICHMOND UNIVERSITY MEDICAL CENTER,STATEN ISLAND,NY,10304,Voluntary non-profit - Private,27,55023.37,21078,18499.96,suburban,2,middle income,2,403700,53168,42193,10889,Staten Island,NY,2,1,1,1,1,1,,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Not Available,Acute Care Hospitals,NY - Manhattan,RICHMOND UNIVERSITY MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330030,NEWARK-WAYNE COMMUNITY HOSPITAL,NEWARK,NY,14513,Voluntary non-profit - Private,56,36401.8,12337.34,9904.04,rural,1,middle income,2,89400,45583,13976,298,Newark,NY,2,1,1,1,2,2,2,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - Rochester,NEWARK-WAYNE COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330033,"CHENANGO MEMORIAL HOSPITAL, INC",NORWICH,NY,13815,Voluntary non-profit - Private,40,48926.92,17597.45,14176.15,rural,1,low income,1,87600,39818,13999,131,Norwich,NY,2,2,3,2,2,3,2,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,NY - Binghamton,CHENANGO MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330043,SOUTHSIDE HOSPITAL,BAY SHORE,NY,11706,Voluntary non-profit - Private,269,55945.47,18899.88,14440.97,urban,3,middle income,2,329200,75775,62543,3670,Bay Shore,NY,1,3,1,1,2,1,3,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,SOUTHSIDE HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330044,FAXTON-ST LUKE'S HEALTHCARE,UTICA,NY,13503,Voluntary non-profit - Private,37,42983.51,12240.54,10950.49,,,,,,,,,,,1,2,1,1,2,1,2,1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Elmira,FAXTON-ST LUKE'S HEALTHCARE
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330045,HUNTINGTON HOSPITAL,HUNTINGTON,NY,11743,Voluntary non-profit - Private,264,56763.36,16206.33,13974.61,suburban,2,middle income,2,584500,118222,42230,1664,Huntington,NY,3,1,1,2,2,1,3,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - East Long Island,HUNTINGTON HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330046,MOUNT SINAI WEST,NEW YORK,NY,10019,Voluntary non-profit - Private,252,79259.33,25013.91,18545.47,suburban,2,middle income,2,808600,84424,42870,63042,New York,NY,3,3,1,1,2,1,2,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,MOUNT SINAI WEST
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330047,ST MARY'S HOSPITAL AT AMSTERDAM,AMSTERDAM,NY,12010,Voluntary non-profit - Private,53,22633.09,13906.49,12094.04,rural,1,low income,1,110500,44256,28937,221,Amsterdam,NY,1,1,1,1,2,3,2,2,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,NY - Albany,ST MARY'S HOSPITAL AT AMSTERDAM
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330049,NORTHERN DUTCHESS HOSPITAL,RHINEBECK,NY,12572,Voluntary non-profit - Private,293,34976.11,14475.68,12420.7,rural,1,middle income,2,354400,72551,9123,180,Rhinebeck,NY,2,2,2,3,2,3,2,3,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,NY - Albany,NORTHERN DUTCHESS HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330055,NEW YORK-PRESBYTERIAN/QUEENS,FLUSHING,NY,11355,Voluntary non-profit - Private,248,39167.9,20545.69,18274.87,urban,3,low income,1,507500,41884,85871,49492,Flushing,NY,2,1,1,1,2,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,NEW YORK-PRESBYTERIAN/QUEENS
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330056,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,BROOKLYN,NY,11201,Voluntary non-profit - Private,43,71314.12,24605.3,22172.14,urban,3,middle income,2,669000,95369,51128,35981,Brooklyn,NY,2,3,1,1,2,1,2,1,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330057,ST PETER'S HOSPITAL,ALBANY,NY,12208,Voluntary non-profit - Private,592,30626.5,12891.82,10469.89,suburban,2,middle income,2,196600,58825,20702,4936,Albany,NY,2,1,3,1,2,1,2,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,ST PETER'S HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330058,GENEVA GENERAL HOSPITAL,GENEVA,NY,14456,Voluntary non-profit - Private,111,30562.68,12365.32,9358.78,rural,1,middle income,2,109200,48158,20087,257,Geneva,NY,2,2,1,1,2,1,2,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Rochester,GENEVA GENERAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330059,MONTEFIORE MEDICAL CENTER,BRONX,NY,10467,Voluntary non-profit - Private,242,86703.69,26624.78,21507.31,urban,3,low income,1,369500,36048,97060,41649,Bronx,NY,3,1,1,1,1,1,2,1,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Bronx,MONTEFIORE MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330061,LAWRENCE HOSPITAL CENTER,BRONXVILLE,NY,10708,Voluntary non-profit - Private,85,55260.55,15923.59,13108.8,suburban,2,middle income,2,466900,95815,21225,6895,Bronxville,NY,2,3,1,1,2,1,2,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - White Plains,NEW YORK-PRESBYTERIAN HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330073,UNITED MEMORIAL MEDICAL CENTER,BATAVIA,NY,14020,Voluntary non-profit - Private,53,40760.74,13701.96,12063.49,rural,1,low income,1,95000,42809,23306,337,Batavia,NY,2,3,2,2,2,2,,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Not Available,Acute Care Hospitals,NY - Buffalo,UNITED MEMORIAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330074,F F THOMPSON HOSPITAL,CANANDAIGUA,NY,14424,Voluntary non-profit - Private,105,33123.85,11550.54,9139.15,rural,1,middle income,2,168200,53231,27007,212,Canandaigua,NY,2,2,1,2,2,1,2,2,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Rochester,F F THOMPSON HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330078,SISTERS OF CHARITY HOSPITAL,BUFFALO,NY,14214,Voluntary non-profit - Private,178,27652.17,16553.67,11788.48,suburban,2,low income,1,117900,38698,19775,6922,Buffalo,NY,1,1,3,1,2,1,2,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,SISTERS OF CHARITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330079,ADIRONDACK MEDICAL CENTER,SARANAC LAKE,NY,12983,Voluntary non-profit - Other,102,40650.81,16219.75,14111.23,rural,1,middle income,2,162400,47329,7494,36,Saranac Lake,NY,2,2,2,3,2,2,2,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,VT - Burlington,ADIRONDACK MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330084,ALICE HYDE MEDICAL CENTER,MALONE,NY,12953,Voluntary non-profit - Other,26,28472.96,15641.35,13549.27,rural,1,middle income,2,91300,50378,15836,75,Malone,NY,2,1,1,1,2,3,2,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,VT - Burlington,ALICE HYDE MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330085,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONEONTA,NY,13820,Voluntary non-profit - Private,44,23091.66,13215.68,11937.86,rural,1,low income,1,142900,42345,22455,209,Oneonta,NY,2,3,1,2,2,2,2,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - Binghamton,AURELIA OSBORN FOX MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330090,ARNOT OGDEN MEDICAL CENTER,ELMIRA,NY,14905,Voluntary non-profit - Private,224,26818.38,13793.75,10497.81,suburban,2,middle income,2,123000,59159,9070,2177,Elmira,NY,2,2,1,1,2,1,2,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Elmira,ARNOT OGDEN MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330094,COLUMBIA MEMORIAL HOSPITAL,HUDSON,NY,12534,Voluntary non-profit - Private,59,36773.56,12275.69,10537.75,rural,1,middle income,2,173700,46261,17867,205,Hudson,NY,2,2,1,1,2,1,2,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,COLUMBIA MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330096,JONES MEMORIAL HOSPITAL,WELLSVILLE,NY,14895,Voluntary non-profit - Private,16,27834.94,13462.38,12317.88,rural,1,low income,1,67100,38778,9616,85,Wellsville,NY,2,,3,1,2,2,,2,Same as the national average,Not Available,Above the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Acute Care Hospitals,NY - Rochester,JONES MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330101,NEW YORK-PRESBYTERIAN HOSPITAL,NEW YORK,NY,10065,Voluntary non-profit - Private,389,60981.34,23875.96,19424.48,suburban,2,middle income,2,1000001,115519,32270,83533,New York,NY,3,1,3,1,2,1,1,4,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,NY - Manhattan,NEW YORK-PRESBYTERIAN HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330102,KENMORE MERCY HOSPITAL,KENMORE,NY,14217,Voluntary non-profit - Church,276,26927.53,14210.59,10450.41,suburban,2,middle income,2,107700,50254,23480,7311,Buffalo,NY,2,3,3,3,2,1,2,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,KENMORE MERCY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330103,OLEAN GENERAL HOSPITAL,OLEAN,NY,14760,Proprietary,55,30860.05,13339.62,10119.47,rural,1,low income,1,74500,41807,18775,296,Olean,NY,1,3,2,1,1,2,2,2,Below the national average,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - Buffalo,OLEAN GENERAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330104,NYACK HOSPITAL,NYACK,NY,10960,Voluntary non-profit - Other,97,60999.45,16467,13923.35,suburban,2,middle income,2,483700,78750,15093,3599,Nyack,NY,2,2,1,1,2,1,3,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NJ - Hackensack,NYACK HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330106,NORTH SHORE UNIVERSITY HOSPITAL,MANHASSET,NY,11030,Voluntary non-profit - Private,693,74105.46,19929.88,17058.27,suburban,2,high income,3,1000001,172266,17962,2691,Manhasset,NY,3,1,1,2,2,1,2,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,NORTH SHORE UNIVERSITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330107,PECONIC BAY MEDICAL CENTER,RIVERHEAD,NY,11901,Voluntary non-profit - Private,459,70279.58,17294.6,15372.93,rural,1,middle income,2,322000,51350,27172,493,Riverhead,NY,2,2,1,1,2,1,2,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,PECONIC BAY MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330119,LENOX HILL HOSPITAL,NEW YORK,NY,10021,Voluntary non-profit - Private,398,74485.42,20617.88,16849.43,suburban,2,middle income,2,1000001,107907,43631,112711,New York,NY,3,1,1,1,2,2,2,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,NY - Manhattan,LENOX HILL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330125,ROCHESTER GENERAL HOSPITAL,ROCHESTER,NY,14621,Voluntary non-profit - Private,173,36227.73,14906.91,10645.91,suburban,2,low income,1,57400,23735,33802,8198,Rochester,NY,3,3,1,1,2,1,2,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Rochester,ROCHESTER GENERAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330126,ORANGE REGIONAL MEDICAL CENTER,MIDDLETOWN,NY,10940,Voluntary non-profit - Private,329,42779.44,15891.77,13238.25,rural,1,middle income,2,225800,61146,48418,746,Middletown,NY,2,3,1,2,2,1,3,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - White Plains,ORANGE REGIONAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330127,JACOBI MEDICAL CENTER,BRONX,NY,10461,Government - Local,12,47446.92,29948.58,26963.83,urban,3,middle income,2,454700,52347,50502,21045,Bronx,NY,2,1,1,1,1,1,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Bronx,JACOBI MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330128,ELMHURST HOSPITAL CENTER,ELMHURST,NY,11373,Government - Local,14,63915.5,27478,21614.29,urban,3,middle income,2,499600,47667,100820,66007,Elmhurst,NY,2,1,1,1,2,1,,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Not Available,Acute Care Hospitals,NY - East Long Island,ELMHURST HOSPITAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330135,BON SECOURS COMMUNITY HOSPITAL,PORT JERVIS,NY,12771,Voluntary non-profit - Church,12,125166.5,15663.58,14461.92,rural,1,low income,1,193600,42797,14511,419,Port Jervis,NY,2,3,3,2,2,3,2,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,NJ - Morristown,BON SECOURS COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330136,MARY IMOGENE BASSETT HOSPITAL,COOPERSTOWN,NY,13326,Voluntary non-profit - Private,171,36535.52,19813.2,17828.61,rural,1,middle income,2,260300,57375,5561,58,Cooperstown,NY,2,1,1,1,2,1,2,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - Albany,MARY IMOGENE BASSETT HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330140,ST JOSEPH'S HOSPITAL HEALTH CENTER,SYRACUSE,NY,13203,Voluntary non-profit - Private,649,31511.72,14679.97,10758.05,suburban,2,low income,1,99900,26250,16029,9430,Syracuse,NY,3,1,1,2,2,1,3,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Syracuse,ST JOSEPH'S HOSPITAL HEALTH CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330141,BROOKHAVEN MEMORIAL HOSPITAL MEDICAL CENTER,PATCHOGUE,NY,11772,Voluntary non-profit - Private,49,93670.29,17856.76,14059.47,suburban,2,middle income,2,317000,68230,44837,2769,Patchogue,NY,3,1,3,1,2,1,2,2,Above the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NY - East Long Island,LONG ISLAND COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330153,ELLIS HOSPITAL,SCHENECTADY,NY,12308,Proprietary,164,46333.13,14812.07,10823.32,suburban,2,low income,1,133200,40598,15335,6820,Schenectady,NY,1,1,3,1,3,1,3,2,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,Acute Care Hospitals,NY - Albany,ELLIS HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330157,SAMARITAN MEDICAL CENTER,WATERTOWN,NY,13601,Voluntary non-profit - Private,105,28584.89,19776.04,18394.51,rural,1,low income,1,130200,42296,38158,271,Watertown,NY,2,1,3,1,2,1,1,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Acute Care Hospitals,NY - Syracuse,SAMARITAN MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,330158,GOOD SAMARITAN HOSPITAL OF SUFFERN,SUFFERN,NY,10901,Voluntary non-profit - Church,146,99123.06,16278.49,13937.69,suburban,2,middle income,2,416100,85147,23465,1304,Suffern,NY,3,1,1,1,2,1,2,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,NJ - Ridgewood,GOOD SAMARITAN HOSPITAL OF SUFFERN
