DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50197,SEQUOIA HOSPITAL,REDWOOD CITY,CA,94062,Voluntary non-profit - Private,389,147188.82,19167.74,16348.94,rural,1.0,middle income,2.0,1000001.0,125060.0,25876.0,365.0,Redwood City,CA,2.0,3.0,3.0,3.0,2.0,2.0,2.0,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - San Mateo County,SEQUOIA HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50122,DAMERON HOSPITAL,STOCKTON,CA,95203,Voluntary non-profit - Other,236,145773.63,17926.73,15689.38,suburban,2.0,low income,1.0,155200.0,39301.0,15696.0,2544.0,Stockton,CA,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Stockton,DAMERON HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50248,NATIVIDAD MEDICAL CENTER,SALINAS,CA,93906,Government - Hospital District or Authority,22,144491.82,27672.41,26107.82,urban,3.0,middle income,2.0,254400.0,56358.0,59461.0,4548.0,Salinas,CA,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Salinas,NATIVIDAD MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50764,SHASTA REGIONAL MEDICAL CENTER,REDDING,CA,96001,Proprietary,320,143628.2,16604.76,15328.31,rural,1.0,middle income,2.0,250700.0,47988.0,33865.0,385.0,Redding,CA,2.0,3.0,3.0,1.0,2.0,1.0,3.0,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Redding,SHASTA REGIONAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50534,JOHN F KENNEDY MEMORIAL HOSPITAL,INDIO,CA,92201,Proprietary,67,141418.28,17060.75,15561.46,suburban,2.0,low income,1.0,157100.0,41335.0,61827.0,2729.0,Indio,CA,2.0,3.0,2.0,1.0,2.0,1.0,2.0,2,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - San Diego,JOHN F KENNEDY MEMORIAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50336,ADVENTIST HEALTH LODI MEMORIAL,LODI,CA,95240,Voluntary non-profit - Other,147,141003.82,16353.78,14600.11,rural,1.0,low income,1.0,204500.0,41172.0,47172.0,570.0,Lodi,CA,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Sacramento,ADVENTIST HEALTH LODI MEMORIAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50742,OLYMPIA MEDICAL CENTER,LOS ANGELES,CA,90036,Proprietary,28,139220.64,16050.0,13981.29,suburban,2.0,middle income,2.0,945000.0,71589.0,36865.0,14922.0,Los Angeles,CA,3.0,3.0,1.0,1.0,2.0,2.0,,2,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Not Available,Acute Care Hospitals,CA - Los Angeles,OLYMPIA MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50688,ST LOUISE REGIONAL HOSPITAL,GILROY,CA,95020,Voluntary non-profit - Church,23,137697.7,20426.61,19173.91,rural,1.0,middle income,2.0,463000.0,81037.0,57349.0,368.0,Gilroy,CA,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - San Jose,ST LOUISE REGIONAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50179,EMANUEL MEDICAL CENTER,TURLOCK,CA,95382,Voluntary non-profit - Church,108,137268.59,15984.93,14568.68,suburban,2.0,middle income,2.0,229300.0,65412.0,36176.0,3446.0,Turlock,CA,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Modesto,EMANUEL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50242,DOMINICAN HOSPITAL,SANTA CRUZ,CA,95065,Proprietary,179,135665.08,19838.98,17954.57,rural,1.0,middle income,2.0,659500.0,85156.0,8113.0,725.0,Santa Cruz,CA,2.0,3.0,3.0,1.0,2.0,1.0,3.0,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Santa Cruz,DOMINICAN HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50496,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,CONCORD,CA,94520,Voluntary non-profit - Private,380,135013.52,22074.3,15896.46,suburban,2.0,middle income,2.0,249400.0,47313.0,37208.0,3688.0,Concord,CA,3.0,3.0,3.0,2.0,2.0,2.0,3.0,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Acute Care Hospitals,CA - Contra Costa County,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50132,SAN GABRIEL VALLEY MEDICAL CENTER,SAN GABRIEL,CA,91776,Proprietary,36,134713.06,17856.75,16109.56,suburban,2.0,middle income,2.0,482700.0,47368.0,38475.0,11300.0,San Gabriel,CA,3.0,2.0,1.0,1.0,2.0,2.0,2.0,4,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - Los Angeles,SAN GABRIEL VALLEY MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50228,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,SAN FRANCISCO,CA,94110,Government - Local,54,134551.31,31821.91,29984.8,urban,3.0,middle income,2.0,768200.0,82111.0,69333.0,29816.0,San Francisco,CA,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - San Francisco,ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,NORTHRIDGE,CA,91325,Voluntary non-profit - Private,317,130783.22,17121.06,14550.38,suburban,2.0,middle income,2.0,485800.0,59646.0,32417.0,6724.0,Northridge,CA,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Los Angeles,NORTHRIDGE HOSPITAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50308,EL CAMINO HOSPITAL,MOUNTAIN VIEW,CA,94040,Government - Hospital District or Authority,452,130543.12,18902.78,16236.05,suburban,2.0,middle income,2.0,997000.0,99375.0,32996.0,8945.0,Mountain View,CA,2.0,3.0,3.0,3.0,1.0,1.0,2.0,4,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - San Jose,EL CAMINO HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50118,DOCTORS HOSPITAL OF MANTECA,MANTECA,CA,95336,Voluntary non-profit - Other,20,129626.65,16778.65,14449.45,suburban,2.0,middle income,2.0,193500.0,57317.0,42675.0,1114.0,Manteca,CA,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - Stockton,DOCTORS HOSPITAL OF MANTECA
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50022,RIVERSIDE COMMUNITY HOSPITAL,RIVERSIDE,CA,92501,Proprietary,47,127058.13,19109.38,15019.94,suburban,2.0,middle income,2.0,186800.0,48234.0,20970.0,3678.0,Riverside,CA,2.0,3.0,1.0,1.0,2.0,1.0,2.0,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - San Bernardino,RIVERSIDE COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50457,ST MARY'S MEDICAL CENTER,SAN FRANCISCO,CA,94117,Voluntary non-profit - Private,111,126462.14,23915.61,21360.76,suburban,2.0,middle income,2.0,911500.0,94479.0,39169.0,23211.0,San Francisco,CA,2.0,3.0,2.0,1.0,2.0,2.0,2.0,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - San Francisco,ST MARY'S MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50588,SAN DIMAS COMMUNITY HOSPITAL,SAN DIMAS,CA,91773,Proprietary,22,125638.55,15202.64,13950.27,suburban,2.0,middle income,2.0,423600.0,78509.0,33119.0,2316.0,San Dimas,CA,2.0,3.0,3.0,1.0,2.0,3.0,,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Not Available,Acute Care Hospitals,CA - Los Angeles,SAN DIMAS COMMUNITY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50002,ST ROSE HOSPITAL,HAYWARD,CA,94545,Voluntary non-profit - Church,124,123435.65,20968.34,19424.04,suburban,2.0,middle income,2.0,339100.0,69488.0,29707.0,1379.0,Hayward,CA,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,CA - Alameda County,ST ROSE HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50153,O'CONNOR HOSPITAL,SAN JOSE,CA,95128,Voluntary non-profit - Private,143,123319.36,20830.87,19262.08,suburban,2.0,middle income,2.0,572200.0,66533.0,34836.0,8923.0,San Jose,CA,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - San Jose,O'CONNOR HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50077,SCRIPPS MERCY HOSPITAL,SAN DIEGO,CA,92103,Voluntary non-profit - Private,230,123319.35,18315.41,15839.63,suburban,2.0,middle income,2.0,546800.0,62092.0,31066.0,8245.0,San Diego,CA,3.0,3.0,2.0,1.0,2.0,1.0,2.0,3,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - San Diego,SCRIPPS MERCY HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50204,PALMDALE REGIONAL MEDICAL CENTER,PALMDALE,CA,93552,Proprietary,157,123294.32,16124.24,13475.57,rural,1.0,middle income,2.0,159600.0,56163.0,38158.0,787.0,Palmdale,CA,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Los Angeles,PALMDALE REGIONAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50231,POMONA VALLEY HOSPITAL MEDICAL CENTER,POMONA,CA,91767,Voluntary non-profit - Private,29,122199.38,20080.28,17294.14,suburban,2.0,middle income,2.0,253800.0,49881.0,48068.0,8552.0,Pomona,CA,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Los Angeles,POMONA VALLEY HOSPITAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,STOCKTON,CA,95204,Voluntary non-profit - Church,44,121175.93,16367.91,15105.36,suburban,2.0,low income,1.0,140400.0,44809.0,27786.0,5448.0,Stockton,CA,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Acute Care Hospitals,CA - Stockton,ST JOSEPH'S MEDICAL CENTER OF STOCKTON
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,50082,ST JOHNS REGIONAL MEDICAL CENTER,OXNARD,CA,93030,Voluntary non-profit - Private,134,120897.25,17202.48,14840.62,urban,3.0,middle income,2.0,342600.0,55271.0,59372.0,4282.0,Oxnard,CA,2.0,1.0,3.0,1.0,2.0,1.0,3.0,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Acute Care Hospitals,CA - Ventura,ST JOHNS REGIONAL MEDICAL CENTER
