,Unnamed: 0,DRG,Provider Id,Name,Provider Street Address,City_x,State_x,Zip Code,Region,Discharges,List Price,Average Total,Average Medicare,Latitude,Longitude,Per Capita Income,Poverty Rate,Median Age,Hospital Name,Zipcode,Score,Score Range,Rank,Rank Range,Function,City_y,State_y,Score Percentile,Rank Percentile
10,8005,638 - DIABETES W CC,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,FL - Pensacola,17,27538.71,4392.06,3607.53,32.7794,-86.8287,23680,18.1408783,38.1,ANDALUSIA REGIONAL HOSPITAL,36420,2.9,5,41,91,Star Ratings,ANDALUSIA,AL,0.58,0.450549451
11,8006,638 - DIABETES W CC,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,13,26561.38,4844.92,2750.54,32.7794,-86.8287,23680,18.1408783,38.1,STRINGFELLOW MEMORIAL HOSPITAL,36201,2.6,5,34,91,Star Ratings,ANNISTON,AL,0.52,0.373626374
12,8007,638 - DIABETES W CC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,96,30619.7,5296.59,4197.07,32.7794,-86.8287,23680,18.1408783,38.1,HUNTSVILLE HOSPITAL,35801,3.8,5,65,91,Star Ratings,HUNTSVILLE,AL,0.76,0.7142857140000001
13,8008,638 - DIABETES W CC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,20,68518.25,4847.25,3935.85,32.7794,-86.8287,23680,18.1408783,38.1,GADSDEN REGIONAL MEDICAL CENTER,35903,2.7,5,35,91,Star Ratings,GADSDEN,AL,0.54,0.384615385
14,8009,638 - DIABETES W CC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,20,19625.45,4508.0,3373.4,32.7794,-86.8287,23680,18.1408783,38.1,RIVERVIEW REGIONAL MEDICAL CENTER,35901,1.9,5,19,91,Star Ratings,GADSDEN,AL,0.38,0.20879120899999998
15,8010,638 - DIABETES W CC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,16,35263.44,4566.25,3546.88,32.7794,-86.8287,23680,18.1408783,38.1,FLOWERS HOSPITAL,36305,3.8,5,67,91,Star Ratings,DOTHAN,AL,0.76,0.736263736
16,8011,638 - DIABETES W CC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,19,25082.16,4614.63,3579.37,32.7794,-86.8287,23680,18.1408783,38.1,ST VINCENT'S BIRMINGHAM,35205,3.8,5,65,91,Star Ratings,BIRMINGHAM,AL,0.76,0.7142857140000001
17,8012,638 - DIABETES W CC,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,AL - Huntsville,15,12136.0,4796.67,3493.73,32.7794,-86.8287,23680,18.1408783,38.1,HIGHLANDS MEDICAL CENTER,35768,3.6,5,59,91,Star Ratings,SCOTTSBORO,AL,0.72,0.648351648
18,8013,638 - DIABETES W CC,10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,AL - Birmingham,17,10395.06,4480.71,3324.47,32.7794,-86.8287,23680,18.1408783,38.1,RUSSELL HOSPITAL,35010,4.3,5,79,91,Star Ratings,ALEXANDER CITY,AL,0.86,0.868131868
19,8014,638 - DIABETES W CC,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,30,31424.73,5300.37,3206.43,32.7794,-86.8287,23680,18.1408783,38.1,NORTHEAST ALABAMA REGIONAL MED CENTER,36207,2.8,5,40,91,Star Ratings,ANNISTON,AL,0.56,0.43956044
20,8015,638 - DIABETES W CC,10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,AL - Huntsville,12,10362.92,4642.42,3772.08,32.7794,-86.8287,23680,18.1408783,38.1,ATHENS-LIMESTONE HOSPITAL,35611,3.9,5,70,91,Star Ratings,ATHENS,AL,0.78,0.7692307690000001
21,8016,638 - DIABETES W CC,10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,AL - Huntsville,45,11841.49,4783.13,3403.16,32.7794,-86.8287,23680,18.1408783,38.1,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,35601,3.3,5,51,91,Star Ratings,DECATUR,AL,0.66,0.56043956
22,8017,638 - DIABETES W CC,10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,AL - Birmingham,12,22425.42,4968.42,3988.42,32.7794,-86.8287,23680,18.1408783,38.1,WALKER BAPTIST MEDICAL CENTER,35502,2.8,5,38,91,Star Ratings,JASPER,AL,0.56,0.41758241799999996
23,8018,638 - DIABETES W CC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,15,16507.4,4640.07,3744.53,32.7794,-86.8287,23680,18.1408783,38.1,PROVIDENCE HOSPITAL,36608,3.3,5,53,91,Star Ratings,MOBILE,AL,0.66,0.582417582
24,8019,638 - DIABETES W CC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,88,20749.86,5232.25,3901.98,32.7794,-86.8287,23680,18.1408783,38.1,D C H REGIONAL MEDICAL CENTER,35401,3.3,5,51,91,Star Ratings,TUSCALOOSA,AL,0.66,0.56043956
25,8020,638 - DIABETES W CC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,15,15517.8,4324.8,3277.6,32.7794,-86.8287,23680,18.1408783,38.1,THOMAS HOSPITAL,36532,4.2,5,75,91,Star Ratings,FAIRHOPE,AL,0.84,0.8241758240000001
26,8021,638 - DIABETES W CC,10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,16,27726.44,5667.75,4067.0,32.7794,-86.8287,23680,18.1408783,38.1,BAPTIST MEDICAL CENTER-PRINCETON,35211,3.6,5,59,91,Star Ratings,BIRMINGHAM,AL,0.72,0.648351648
27,8022,638 - DIABETES W CC,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,AL - Birmingham,19,57963.68,5614.95,4543.58,32.7794,-86.8287,23680,18.1408783,38.1,TRINITY MEDICAL CENTER,35213,4.1,5,74,91,Star Ratings,BIRMINGHAM,AL,0.82,0.813186813
28,8023,638 - DIABETES W CC,10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AL - Montgomery,22,17787.32,4509.23,3639.36,32.7794,-86.8287,23680,18.1408783,38.1,PRATTVILLE BAPTIST HOSPITAL,36067,3.9,5,70,91,Star Ratings,PRATTVILLE,AL,0.78,0.7692307690000001
29,8024,638 - DIABETES W CC,10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36652,AL - Mobile,66,18357.67,5917.11,3734.56,32.7794,-86.8287,23680,18.1408783,38.1,MOBILE INFIRMARY,36652,3.9,5,69,91,Star Ratings,MOBILE,AL,0.78,0.7582417579999999
30,8025,638 - DIABETES W CC,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35021,AL - Birmingham,12,20979.25,5384.33,4057.0,32.7794,-86.8287,23680,18.1408783,38.1,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",35021,2.6,5,34,91,Star Ratings,BESSEMER,AL,0.52,0.373626374
31,8026,638 - DIABETES W CC,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,AL - Birmingham,23,37786.7,5705.96,4612.39,32.7794,-86.8287,23680,18.1408783,38.1,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,36701,1.7,5,13,91,Star Ratings,SELMA,AL,0.34,0.14285714300000002
32,8028,638 - DIABETES W CC,10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,19,64160.74,4550.05,3501.16,32.7794,-86.8287,23680,18.1408783,38.1,BROOKWOOD MEDICAL CENTER,35209,3.1,5,45,91,Star Ratings,BIRMINGHAM,AL,0.62,0.494505495
33,8029,638 - DIABETES W CC,10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,AL - Mobile,18,8950.17,4468.22,3446.22,32.7794,-86.8287,23680,18.1408783,38.1,SPRINGHILL MEMORIAL HOSPITAL,36608,3.3,5,52,91,Star Ratings,MOBILE,AL,0.66,0.571428571
34,8030,638 - DIABETES W CC,10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,AL - Montgomery,20,18591.0,5984.1,4557.05,32.7794,-86.8287,23680,18.1408783,38.1,BAPTIST MEDICAL CENTER EAST,36117,4.0,5,72,91,Star Ratings,MONTGOMERY,AL,0.8,0.791208791
35,8031,638 - DIABETES W CC,10157,SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,AL - Birmingham,11,15147.45,4127.45,3414.73,32.7794,-86.8287,23680,18.1408783,38.1,SHOALS HOSPITAL,35661,3.2,5,48,91,Star Ratings,MUSCLE SHOALS,AL,0.64,0.527472527
36,8032,638 - DIABETES W CC,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham,11,26868.27,4843.18,3889.64,32.7794,-86.8287,23680,18.1408783,38.1,COOSA VALLEY MEDICAL CENTER,35150,3.7,5,63,91,Star Ratings,SYLACAUGA,AL,0.74,0.692307692
37,8034,638 - DIABETES W CC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,12,39371.17,9019.08,7792.92,34.8938,-92.4426,32651,9.650486731,33.6,MAT-SU REGIONAL MEDICAL CENTER,99645,3.2,5,48,91,Star Ratings,PALMER,AK,0.64,0.527472527
38,8035,638 - DIABETES W CC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,16,30049.94,7369.38,6137.0,34.8938,-92.4426,32651,9.650486731,33.6,ALASKA REGIONAL HOSPITAL,99508,2.7,5,35,91,Star Ratings,ANCHORAGE,AK,0.54,0.384615385
39,8036,638 - DIABETES W CC,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,12,37359.25,7796.42,6597.08,34.2744,-111.6602,25358,17.46840866,36.3,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,85006,3.3,5,51,91,Star Ratings,PHOENIX,AZ,0.66,0.56043956
40,8037,638 - DIABETES W CC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,40,22659.5,6830.35,5675.38,34.2744,-111.6602,25358,17.46840866,36.3,TUCSON MEDICAL CENTER,85712,2.8,5,40,91,Star Ratings,TUCSON,AZ,0.56,0.43956044
41,8038,638 - DIABETES W CC,30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,AZ - Tucson,20,40048.15,5955.9,5034.1,34.2744,-111.6602,25358,17.46840866,36.3,CARONDELET ST  MARYS HOSPITAL,85745,2.3,5,26,91,Star Ratings,TUCSON,AZ,0.46,0.28571428600000004
42,8039,638 - DIABETES W CC,30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson,15,36068.6,5868.27,4302.13,34.2744,-111.6602,25358,17.46840866,36.3,CARONDELET ST JOSEPH'S HOSPITAL,85711,2.8,5,38,91,Star Ratings,TUCSON,AZ,0.56,0.41758241799999996
43,8040,638 - DIABETES W CC,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,AZ - Phoenix,17,17241.24,5658.24,4501.53,34.2744,-111.6602,25358,17.46840866,36.3,YAVAPAI REGIONAL MEDICAL CENTER,86301,3.3,5,52,91,Star Ratings,PRESCOTT,AZ,0.66,0.571428571
44,8041,638 - DIABETES W CC,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,AZ - Phoenix,29,24604.86,6127.52,5067.38,34.2744,-111.6602,25358,17.46840866,36.3,YUMA REGIONAL MEDICAL CENTER,85364,2.8,5,38,91,Star Ratings,YUMA,AZ,0.56,0.41758241799999996
45,8042,638 - DIABETES W CC,30014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,AZ - Phoenix,11,28347.09,5864.73,5412.0,34.2744,-111.6602,25358,17.46840866,36.3,JOHN C LINCOLN MEDICAL CENTER,85020,2.8,5,40,91,Star Ratings,PHOENIX,AZ,0.56,0.43956044
46,8043,638 - DIABETES W CC,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix,18,29346.67,9238.78,8291.44,34.2744,-111.6602,25358,17.46840866,36.3,FLAGSTAFF MEDICAL CENTER,86001,3.9,5,70,91,Star Ratings,FLAGSTAFF,AZ,0.78,0.7692307690000001
47,8044,638 - DIABETES W CC,30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,AZ - Phoenix,17,28980.59,8968.65,7058.88,34.2744,-111.6602,25358,17.46840866,36.3,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,85013,3.1,5,45,91,Star Ratings,PHOENIX,AZ,0.62,0.494505495
48,8045,638 - DIABETES W CC,30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,AZ - Mesa,32,50793.47,6184.41,4928.12,34.2744,-111.6602,25358,17.46840866,36.3,CHANDLER REGIONAL MEDICAL CENTER,85224,2.8,5,38,91,Star Ratings,CHANDLER,AZ,0.56,0.41758241799999996
49,8046,638 - DIABETES W CC,30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,AZ - Phoenix,13,25226.62,6818.62,6114.31,34.2744,-111.6602,25358,17.46840866,36.3,ST LUKE'S MEDICAL CENTER,85006,2.8,5,38,91,Star Ratings,PHOENIX,AZ,0.56,0.41758241799999996
50,8047,638 - DIABETES W CC,30038,SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,AZ - Phoenix,16,40082.94,6016.75,5164.5,34.2744,-111.6602,25358,17.46840866,36.3,SCOTTSDALE OSBORN MEDICAL CENTER,85251,2.9,5,41,91,Star Ratings,SCOTTSDALE,AZ,0.58,0.450549451
51,8048,638 - DIABETES W CC,30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,AZ - Tucson,19,24095.74,7112.63,5828.58,34.2744,-111.6602,25358,17.46840866,36.3,CANYON VISTA MEDICAL CENTER,85635,1.3,5,5,91,Star Ratings,SIERRA VISTA,AZ,0.26,0.054945055
52,8049,638 - DIABETES W CC,30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,AZ - Phoenix,21,33336.43,6248.57,5221.76,34.2744,-111.6602,25358,17.46840866,36.3,KINGMAN REGIONAL MEDICAL CENTER,86409,3.2,5,49,91,Star Ratings,KINGMAN,AZ,0.64,0.538461538
53,8050,638 - DIABETES W CC,30061,BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,AZ - Sun City,21,33686.81,5324.1,4299.0,34.2744,-111.6602,25358,17.46840866,36.3,BANNER BOSWELL MEDICAL CENTER,85351,3.8,5,65,91,Star Ratings,SUN CITY,AZ,0.76,0.7142857140000001
54,8051,638 - DIABETES W CC,30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,AZ - Phoenix,16,23720.44,7334.81,6514.06,34.2744,-111.6602,25358,17.46840866,36.3,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,85901,3.4,5,56,91,Star Ratings,SHOW LOW,AZ,0.68,0.615384615
55,8052,638 - DIABETES W CC,30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,AZ - Tucson,27,25727.67,10327.11,7658.93,34.2744,-111.6602,25358,17.46840866,36.3,BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,85724,2.3,5,27,91,Star Ratings,TUCSON,AZ,0.46,0.296703297
56,8053,638 - DIABETES W CC,30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,AZ - Mesa,15,26527.07,7322.13,6711.73,34.2744,-111.6602,25358,17.46840866,36.3,BANNER DESERT MEDICAL CENTER,85202,3.3,5,53,91,Star Ratings,MESA,AZ,0.66,0.582417582
57,8055,638 - DIABETES W CC,30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,AZ - Tucson,26,32944.58,5727.23,4973.38,34.2744,-111.6602,25358,17.46840866,36.3,NORTHWEST MEDICAL CENTER,85741,2.3,5,27,91,Star Ratings,TUCSON,AZ,0.46,0.296703297
58,8056,638 - DIABETES W CC,30087,SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,AZ - Phoenix,13,29187.0,5734.85,3500.0,34.2744,-111.6602,25358,17.46840866,36.3,SCOTTSDALE SHEA MEDICAL CENTER,85260,3.3,5,52,91,Star Ratings,SCOTTSDALE,AZ,0.66,0.571428571
59,8057,638 - DIABETES W CC,30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,AZ - Mesa,26,37550.77,6105.85,4141.81,34.2744,-111.6602,25358,17.46840866,36.3,BANNER BAYWOOD MEDICAL CENTER,85206,3.7,5,62,91,Star Ratings,MESA,AZ,0.74,0.6813186809999999
60,8058,638 - DIABETES W CC,30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,AZ - Sun City,14,36550.29,5547.79,4423.36,34.2744,-111.6602,25358,17.46840866,36.3,BANNER DEL E WEBB MEDICAL CENTER,85375,3.2,5,48,91,Star Ratings,SUN CITY WEST,AZ,0.64,0.527472527
61,8059,638 - DIABETES W CC,30094,ABRAZO ARROWHEAD CAMPUS,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,AZ - Phoenix,14,30370.14,6664.36,5542.36,34.2744,-111.6602,25358,17.46840866,36.3,ABRAZO ARROWHEAD CAMPUS,85308,2.7,5,35,91,Star Ratings,GLENDALE,AZ,0.54,0.384615385
62,8060,638 - DIABETES W CC,30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,AZ - Phoenix,31,23162.61,8891.39,4013.13,34.2744,-111.6602,25358,17.46840866,36.3,MAYO CLINIC HOSPITAL,85054,4.7,5,85,91,Star Ratings,PHOENIX,AZ,0.94,0.934065934
63,8061,638 - DIABETES W CC,30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,AZ - Phoenix,15,36634.0,6451.07,5226.53,34.2744,-111.6602,25358,17.46840866,36.3,ABRAZO WEST CAMPUS,85395,2.3,5,27,91,Star Ratings,GOODYEAR,AZ,0.46,0.296703297
64,8062,638 - DIABETES W CC,30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,AZ - Tucson,15,35188.53,5095.13,4526.73,34.2744,-111.6602,25358,17.46840866,36.3,ORO VALLEY HOSPITAL,85755,3.1,5,46,91,Star Ratings,ORO VALLEY,AZ,0.62,0.505494505
65,8063,638 - DIABETES W CC,30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,AZ - Phoenix,11,39883.82,7939.27,5996.64,34.2744,-111.6602,25358,17.46840866,36.3,BANNER ESTRELLA MEDICAL CENTER,85037,3.8,5,65,91,Star Ratings,PHOENIX,AZ,0.76,0.7142857140000001
66,8064,638 - DIABETES W CC,30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,AZ - Mesa,15,43031.4,6250.67,4877.07,34.2744,-111.6602,25358,17.46840866,36.3,MERCY GILBERT MEDICAL CENTER,85296,3.0,5,44,91,Star Ratings,GILBERT,AZ,0.6,0.48351648399999997
67,8065,638 - DIABETES W CC,30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,AZ - Mesa,19,43603.53,6152.58,5278.32,34.2744,-111.6602,25358,17.46840866,36.3,BANNER GATEWAY MEDICAL CENTER,85234,3.8,5,66,91,Star Ratings,GILBERT,AZ,0.76,0.725274725
91,8091,638 - DIABETES W CC,50009,QUEEN OF THE VALLEY MEDICAL CENTER,1000 TRANCAS ST,NAPA,CA,94558,CA - Napa,13,45514.08,7578.0,6574.31,37.1841,-119.4696,29527,15.62810673,35.4,QUEEN OF THE VALLEY MEDICAL CENTER,94558,2.9,5,41,91,Star Ratings,NAPA,CA,0.58,0.450549451
92,8092,638 - DIABETES W CC,50022,RIVERSIDE COMMUNITY HOSPITAL,4445 MAGNOLIA AVENUE,RIVERSIDE,CA,92501,CA - San Bernardino,30,69560.4,9108.37,6685.87,37.1841,-119.4696,29527,15.62810673,35.4,RIVERSIDE COMMUNITY HOSPITAL,92501,1.6,5,11,91,Star Ratings,RIVERSIDE,CA,0.32,0.12087912099999999
93,8093,638 - DIABETES W CC,50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,200 WEST ARBOR DRIVE,SAN DIEGO,CA,92103,CA - San Diego,31,25637.84,10962.65,8671.77,37.1841,-119.4696,29527,15.62810673,35.4,UNIVERSITY OF CALIFORNIA SAN DIEGO MEDICAL CENTER,92103,3.6,5,59,91,Star Ratings,SAN DIEGO,CA,0.72,0.648351648
94,8094,638 - DIABETES W CC,50026,GROSSMONT HOSPITAL,5555 GROSSMONT CENTER DRIVE BOX 58,LA MESA,CA,91942,CA - San Diego,60,45587.2,7032.12,6354.17,37.1841,-119.4696,29527,15.62810673,35.4,GROSSMONT HOSPITAL,91942,3.2,5,48,91,Star Ratings,LA MESA,CA,0.64,0.527472527
95,8095,638 - DIABETES W CC,50030,OROVILLE HOSPITAL,2767 OLIVE HIGHWAY,OROVILLE,CA,95966,CA - Chico,24,16807.88,6727.5,5793.58,37.1841,-119.4696,29527,15.62810673,35.4,OROVILLE HOSPITAL,95966,1.6,5,11,91,Star Ratings,OROVILLE,CA,0.32,0.12087912099999999
