DRG Definition,Provider ID,Provider Name,Provider City,Provider State,Provider Zip Code,Hospital Ownership,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,region cat,region cat num,income cat,income cat num,Median Home Value,median Household Income,Population,Population Density,Major City,State_y,Mortality national comparison_y,Safety of care national comparison_y,Readmission national comparison_y,Patient experience national comparison_y,Effectiveness of care national comparison_y,Timeliness of care national comparison_y,Efficient use of medical imaging national comparison_y,Hospital overall rating,Mortality national comparison_x,Safety of care national comparison_x,Readmission national comparison_x,Patient experience national comparison_x,Effectiveness of care national comparison_x,Timeliness of care national comparison_x,Efficient use of medical imaging national comparison_x,Hospital Type,Hospital Referral Region (HRR) Description,Hospital Name
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250078,FORREST GENERAL HOSPITAL,HATTIESBURG,MS,39404,Government - Local,676,42494.03,11985.92,9943.35,,,,,,,,,,,1,1,1,2,1,2,3,1,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Acute Care Hospitals,MS - Hattiesburg,FORREST GENERAL HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250082,DELTA REGIONAL MEDICAL CENTER,GREENVILLE,MS,38704,Government - Local,42,33883.64,11965.6,10453.67,,,,,,,,,,,2,1,1,1,2,2,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,TN - Memphis,DELTA REGIONAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250093,BOLIVAR MEDICAL CENTER,CLEVELAND,MS,38732,Proprietary,21,103158.76,12265.52,10738.95,rural,1,low income,1,102100,33161,17981,226,Cleveland,MS,2,,1,2,2,3,,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Not Available,Acute Care Hospitals,TN - Memphis,BOLIVAR MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250097,SOUTHWEST MS REGIONAL MEDICAL CENTER,MCCOMB,MS,39649,Government - Local,42,43973.81,11449.93,10267.93,,,,,,,,,,,2,1,1,2,2,3,2,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,MS - Jackson,SOUTHWEST MS REGIONAL MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250099,GREENWOOD LEFLORE HOSPITAL,GREENWOOD,MS,38930,Government - Local,145,31916.43,11564.22,10117.3,,,,,,,,,,,2,1,1,1,2,2,2,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,MS - Jackson,GREENWOOD LEFLORE HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250100,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC,COLUMBUS,MS,39701,Voluntary non-profit - Private,294,29799.92,11097.02,9535.74,rural,1,low income,1,87200,21043,13997,75,Columbus,MS,1,1,1,2,2,3,1,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Below the national average,Acute Care Hospitals,MS - Tupelo,BAPTIST MEM HOSP/ GOLDEN TRIANGLE INC
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250102,MISSISSIPPI BAPTIST MEDICAL CENTER,JACKSON,MS,39202,Voluntary non-profit - Private,899,43268.6,10909.66,8720.96,suburban,2,low income,1,152600,32411,8411,2286,Jackson,MS,2,1,2,3,2,2,3,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Acute Care Hospitals,MS - Jackson,MISSISSIPPI BAPTIST MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250104,ANDERSON REGIONAL MEDICAL CTR,MERIDIAN,MS,39301,Voluntary non-profit - Private,166,44129.82,11225.64,9227.87,rural,1,low income,1,72100,30821,27449,98,Meridian,MS,2,1,1,2,2,2,1,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Acute Care Hospitals,MS - Meridian,ANDERSON REGIONAL MEDICAL CTR
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250123,GARDEN PARK MEDICAL CENTER,GULFPORT,MS,39503,Proprietary,112,104291.79,11661.48,8311.05,rural,1,middle income,2,148300,46853,45309,375,Gulfport,MS,2,1,1,2,2,2,2,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Acute Care Hospitals,MS - Gulfport,GARDEN PARK MEDICAL CENTER
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250141,BAPTIST MEMORIAL HOSPITAL DESOTO,SOUTHAVEN,MS,38671,Voluntary non-profit - Private,41,41768.56,11886.15,10222.24,suburban,2,middle income,2,116000,50335,35712,1610,Southaven,MS,2,1,1,1,2,2,3,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Acute Care Hospitals,TN - Memphis,BAPTIST MEMORIAL HOSPITAL DESOTO
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250167,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL,OLIVE BRANCH,MS,38654,Voluntary non-profit - Private,14,69029.86,11661.29,10639.29,rural,1,middle income,2,173800,68998,45956,484,Olive Branch,MS,2,2,3,3,2,3,2,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Acute Care Hospitals,TN - Memphis,METHODIST HEALTHCARE - OLIVE BRANCH HOSPITAL
470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,250168,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA,GRENADA,MS,38901,Government - State,14,48517.93,11620.29,10402.29,rural,1,low income,1,92100,34811,18403,77,Grenada,MS,2,,2,1,1,2,2,2,Same as the national average,Not Available,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Acute Care Hospitals,MS - Oxford,UNIVERSITY OF MISSISSIPPI MEDICAL CENTER- GRENADA
