,DRG Definition,Provider ID,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Hospital Name,Zipcode,Score,Score Range,Rank,Rank Range,Function,City,State_x,Score Percentile,Rank Percentile,Major City,State_y,Population,Population Density,Median Home Value,median Household Income
10,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10036,ANDALUSIA REGIONAL HOSPITAL,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,FL - Pensacola,61,68926.67,10911.87,9053.84,ANDALUSIA REGIONAL HOSPITAL,36420,1.8,3,6,34,Consumer Satisfaction,ANDALUSIA,AL,0.6,0.17647058823529413,Andalusia,AL,10673.0,40.0,85300.0,36213.0
11,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,36201,AL - Birmingham,38,229770.34,13235.66,9851.79,STRINGFELLOW MEMORIAL HOSPITAL,36201,1.9,3,7,34,Consumer Satisfaction,ANNISTON,AL,0.6333333333333333,0.2058823529411765,Anniston,AL,20156.0,541.0,57700.0,22054.0
12,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,AL - Huntsville,862,67716.47,13355.4,10048.79,HUNTSVILLE HOSPITAL,35801,2.1,3,21,34,Consumer Satisfaction,HUNTSVILLE,AL,0.7000000000000001,0.6176470588235294,Huntsville,AL,21509.0,1527.0,229200.0,59352.0
13,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,AL - Birmingham,274,112909.68,11553.1,9327.03,GADSDEN REGIONAL MEDICAL CENTER,35903,1.7,3,2,34,Consumer Satisfaction,GADSDEN,AL,0.5666666666666667,0.05882352941176471,Gadsden,AL,18088.0,268.0,92000.0,34444.0
14,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,AL - Birmingham,46,138104.93,10563.35,9336.83,RIVERVIEW REGIONAL MEDICAL CENTER,35901,1.9,3,7,34,Consumer Satisfaction,GADSDEN,AL,0.6333333333333333,0.2058823529411765,Gadsden,AL,20045.0,337.0,99600.0,32213.0
15,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,AL - Dothan,134,101598.52,10933.99,9090.67,MEDICAL CENTER ENTERPRISE,36330,2.1,3,16,34,Consumer Satisfaction,ENTERPRISE,AL,0.7000000000000001,0.4705882352941176,Enterprise,AL,35530.0,296.0,160100.0,50835.0
16,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36305,AL - Dothan,276,70651.33,11286.2,8971.18,FLOWERS HOSPITAL,36305,2.1,3,18,34,Consumer Satisfaction,DOTHAN,AL,0.7000000000000001,0.5294117647058824,Dothan,AL,14470.0,455.0,173000.0,62592.0
17,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,AL - Birmingham,821,34832.33,11992.95,8488.36,ST VINCENT'S BIRMINGHAM,35205,2.1,3,16,34,Consumer Satisfaction,BIRMINGHAM,AL,0.7000000000000001,0.4705882352941176,Birmingham,AL,19686.0,5429.0,143700.0,32131.0
18,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,AL - Huntsville,29,43403.48,11707.21,10487.76,HIGHLANDS MEDICAL CENTER,35768,2.0,3,12,34,Consumer Satisfaction,SCOTTSBORO,AL,0.6666666666666666,0.35294117647058826,Scottsboro,AL,11581.0,68.0,89600.0,36108.0
19,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,AL - Birmingham,33,24457.61,11057.7,9830.09,RUSSELL HOSPITAL,35010,2.2,3,26,34,Consumer Satisfaction,ALEXANDER CITY,AL,0.7333333333333334,0.7647058823529411,Alexander City,AL,20816.0,96.0,90800.0,37380.0
20,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,AL - Birmingham,188,68303.11,10498.06,8835.76,NORTHEAST ALABAMA REGIONAL MED CENTER,36207,1.9,3,9,34,Consumer Satisfaction,ANNISTON,AL,0.6333333333333333,0.2647058823529412,Anniston,AL,19801.0,268.0,131600.0,44176.0
21,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,AL - Huntsville,120,35205.15,12017.73,9964.32,ATHENS-LIMESTONE HOSPITAL,35611,2.1,3,18,34,Consumer Satisfaction,ATHENS,AL,0.7000000000000001,0.5294117647058824,Athens,AL,25251.0,221.0,108600.0,39507.0
22,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,AL - Mobile,104,98587.99,10850.59,9128.45,SOUTH BALDWIN REGIONAL MEDICAL CENTER,36535,2.0,3,14,34,Consumer Satisfaction,FOLEY,AL,0.6666666666666666,0.4117647058823529,Foley,AL,26767.0,293.0,154500.0,43039.0
23,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,AL - Huntsville,223,43953.33,10110.85,8038.83,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,35601,2.0,3,12,34,Consumer Satisfaction,DECATUR,AL,0.6666666666666666,0.35294117647058826,Decatur,AL,34434.0,1226.0,93800.0,35087.0
24,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10090,PROVIDENCE HOSPITAL,6801 AIRPORT BOULEVARD,MOBILE,AL,36608,AL - Mobile,198,27501.87,12197.76,8581.18,PROVIDENCE HOSPITAL,36608,2.1,3,16,34,Consumer Satisfaction,MOBILE,AL,0.7000000000000001,0.4705882352941176,Mobile,AL,36864.0,589.0,158900.0,45438.0
25,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10144,SPRINGHILL MEMORIAL HOSPITAL,3719 DAUPHIN STREET,MOBILE,AL,36608,AL - Mobile,199,37713.18,11660.9,7822.1,SPRINGHILL MEMORIAL HOSPITAL,36608,2.1,3,16,34,Consumer Satisfaction,MOBILE,AL,0.7000000000000001,0.4705882352941176,Mobile,AL,36864.0,589.0,158900.0,45438.0
26,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10092,D C H REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,AL - Tuscaloosa,400,39779.37,12733.25,10153.33,D C H REGIONAL MEDICAL CENTER,35401,1.9,3,9,34,Consumer Satisfaction,TUSCALOOSA,AL,0.6333333333333333,0.2647058823529412,Tuscaloosa,AL,39878.0,838.0,104300.0,23372.0
27,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,AL - Mobile,298,34417.42,10335.51,8128.21,THOMAS HOSPITAL,36532,2.1,3,16,34,Consumer Satisfaction,FAIRHOPE,AL,0.7000000000000001,0.4705882352941176,Fairhope,AL,27829.0,377.0,222800.0,57584.0
28,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,AL - Birmingham,109,89844.7,13404.5,10193.17,BAPTIST MEDICAL CENTER-PRINCETON,35211,2.0,3,14,34,Consumer Satisfaction,BIRMINGHAM,AL,0.6666666666666666,0.4117647058823529,Birmingham,AL,26236.0,1486.0,73000.0,25729.0
29,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,AL - Birmingham,468,142568.02,13071.2,9999.47,TRINITY MEDICAL CENTER,35213,2.1,3,21,34,Consumer Satisfaction,BIRMINGHAM,AL,0.7000000000000001,0.6176470588235294,Birmingham,AL,13185.0,2076.0,468100.0,94504.0
30,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,AL - Montgomery,24,52620.17,12173.54,10725.17,TROY REGIONAL MEDICAL CENTER,36081,2.1,3,18,34,Consumer Satisfaction,TROY,AL,0.7000000000000001,0.5294117647058824,Troy,AL,15267.0,70.0,138600.0,30657.0
31,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,AL - Mobile,47,20248.23,11024.55,9490.15,NORTH BALDWIN INFIRMARY,36507,2.1,3,18,34,Consumer Satisfaction,BAY MINETTE,AL,0.7000000000000001,0.5294117647058824,Bay Minette,AL,19090.0,57.0,108700.0,39539.0
32,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10139,BROOKWOOD BAPTIST MEDICAL CENTER,2010 BROOKWOOD MEDICAL CENTER DRIVE,BIRMINGHAM,AL,35209,AL - Birmingham,368,125496.25,12180.21,8819.96,BROOKWOOD MEDICAL CENTER,35209,2.0,3,13,34,Consumer Satisfaction,BIRMINGHAM,AL,0.6666666666666666,0.38235294117647056,Birmingham,AL,29544.0,3166.0,272600.0,45224.0
33,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,AL - Birmingham,46,70358.98,11408.35,10156.87,RUSSELLVILLE HOSPITAL,35653,2.0,3,13,34,Consumer Satisfaction,RUSSELLVILLE,AL,0.6666666666666666,0.38235294117647056,Russellville,AL,11150.0,78.0,92900.0,34217.0
34,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,AL - Birmingham,31,51809.48,11383.97,9543.65,COOSA VALLEY MEDICAL CENTER,35150,2.1,3,16,34,Consumer Satisfaction,SYLACAUGA,AL,0.7000000000000001,0.4705882352941176,Sylacauga,AL,18472.0,293.0,92200.0,32767.0
35,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,GA - Columbus,510,38539.84,11778.32,9209.91,JACK HUGHSTON MEMORIAL HOSPITAL,36867,2.2,3,24,34,Consumer Satisfaction,PHENIX CITY,AL,0.7333333333333334,0.7058823529411765,Phenix City,AL,22210.0,1710.0,121300.0,37202.0
36,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,AK - Anchorage,120,103565.94,22728.86,20560.33,MAT-SU REGIONAL MEDICAL CENTER,99645,1.9,3,7,34,Consumer Satisfaction,PALMER,AK,0.6333333333333333,0.2058823529411765,Palmer,AK,25176.0,57.0,230400.0,77242.0
37,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,AK - Anchorage,70,50818.44,30508.64,28066.31,BARTLETT REGIONAL HOSPITAL,99801,2.3,3,28,34,Consumer Satisfaction,JUNEAU,AK,0.7666666666666666,0.8235294117647058,Juneau,AK,29164.0,13.0,311600.0,82993.0
38,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,AK - Anchorage,84,60164.95,31341.98,28345.71,FAIRBANKS MEMORIAL HOSPITAL,99701,2.1,3,16,34,Consumer Satisfaction,FAIRBANKS,AK,0.7000000000000001,0.4705882352941176,Fairbanks,AK,19019.0,4.0,183100.0,50585.0
39,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,AK - Anchorage,309,121892.66,21136.96,15136.39,ALASKA REGIONAL HOSPITAL,99508,1.8,3,6,34,Consumer Satisfaction,ANCHORAGE,AK,0.6,0.17647058823529413,Anchorage,AK,35857.0,5167.0,237300.0,56856.0
40,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,AK - Anchorage,96,77644.17,24266.4,22798.86,ALASKA NATIVE MEDICAL CENTER,99508,1.8,3,4,34,Consumer Satisfaction,ANCHORAGE,AK,0.6,0.1176470588235294,Anchorage,AK,35857.0,5167.0,237300.0,56856.0
41,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,AK - Anchorage,64,68570.48,30858.33,27253.45,CENTRAL PENINSULA GENERAL HOSPITAL,99669,2.1,3,18,34,Consumer Satisfaction,SOLDOTNA,AK,0.7000000000000001,0.5294117647058824,Soldotna,AK,14191.0,59.0,204200.0,63482.0
42,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,AZ - Phoenix,121,71484.57,17955.53,13970.19,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX CAMPUS,85006,2.0,3,13,34,Consumer Satisfaction,PHOENIX,AZ,0.6666666666666666,0.38235294117647056,Phoenix,AZ,25742.0,6595.0,112700.0,22957.0
43,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30037,ST LUKE'S MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,AZ - Phoenix,520,65541.29,15023.6,13008.8,ST LUKE'S MEDICAL CENTER,85006,1.8,3,4,34,Consumer Satisfaction,PHOENIX,AZ,0.6,0.1176470588235294,Phoenix,AZ,25742.0,6595.0,112700.0,22957.0
44,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,AZ - Tucson,699,36163.44,15323.39,13387.19,TUCSON MEDICAL CENTER,85712,1.9,3,8,34,Consumer Satisfaction,TUCSON,AZ,0.6333333333333333,0.2352941176470588,Tucson,AZ,32666.0,4807.0,145600.0,31290.0
45,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,AZ - Phoenix,82,60246.91,20624.84,18114.55,VERDE VALLEY MEDICAL CENTER,86326,2.0,3,12,34,Consumer Satisfaction,COTTONWOOD,AZ,0.6666666666666666,0.35294117647058826,Cottonwood,AZ,23344.0,431.0,146800.0,39953.0
46,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,AZ - Tucson,52,78678.73,14036.63,12266.63,CARONDELET ST  MARYS HOSPITAL,85745,1.8,3,3,34,Consumer Satisfaction,TUCSON,AZ,0.6,0.08823529411764706,Tucson,AZ,37006.0,550.0,192500.0,49380.0
47,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,AZ - Tucson,283,76569.04,14139.41,12086.35,CARONDELET ST JOSEPH'S HOSPITAL,85711,1.9,3,7,34,Consumer Satisfaction,TUCSON,AZ,0.6333333333333333,0.2058823529411765,Tucson,AZ,41251.0,4824.0,145600.0,32557.0
48,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,AZ - Phoenix,348,64692.14,14347.49,12494.19,YAVAPAI REGIONAL MEDICAL CENTER,86301,2.0,3,12,34,Consumer Satisfaction,PRESCOTT,AZ,0.6666666666666666,0.35294117647058826,Prescott,AZ,20626.0,667.0,195800.0,44764.0
49,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,AZ - Phoenix,334,67749.18,15441.39,13456.4,YUMA REGIONAL MEDICAL CENTER,85364,1.8,3,5,34,Consumer Satisfaction,YUMA,AZ,0.6,0.14705882352941174,Yuma,AZ,74904.0,1899.0,118900.0,39102.0
50,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,AZ - Phoenix,142,92687.54,15291.39,11435.58,JOHN C LINCOLN MEDICAL CENTER,85020,1.8,3,4,34,Consumer Satisfaction,PHOENIX,AZ,0.6,0.1176470588235294,Phoenix,AZ,32850.0,3695.0,167400.0,46037.0
51,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,AZ - Phoenix,496,39189.95,24072.36,20278.53,FLAGSTAFF MEDICAL CENTER,86001,2.1,3,16,34,Consumer Satisfaction,FLAGSTAFF,AZ,0.7000000000000001,0.4705882352941176,Flagstaff,AZ,40776.0,46.0,264200.0,46991.0
52,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,AZ - Phoenix,30,71108.13,18156.47,15788.47,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,85013,1.8,3,5,34,Consumer Satisfaction,PHOENIX,AZ,0.6,0.14705882352941174,Phoenix,AZ,19314.0,5195.0,181900.0,43576.0
53,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,AZ - Phoenix,26,73970.81,16337.96,13460.12,ABRAZO CENTRAL CAMPUS,85015,1.8,3,3,34,Consumer Satisfaction,PHOENIX,AZ,0.6,0.08823529411764706,Phoenix,AZ,37644.0,7709.0,113400.0,30753.0
54,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,AZ - Phoenix,239,36284.44,12704.02,10534.66,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",85015,2.2,3,24,34,Consumer Satisfaction,PHOENIX,AZ,0.7333333333333334,0.7058823529411765,Phoenix,AZ,37644.0,7709.0,113400.0,30753.0
55,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30033,BANNER PAYSON MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,AZ - Phoenix,34,69197.94,14750.76,13441.35,PAYSON REGIONAL MEDICAL CENTER,85541,1.8,3,4,34,Consumer Satisfaction,PAYSON,AZ,0.6,0.1176470588235294,Payson,AZ,21877.0,28.0,191700.0,41222.0
56,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,AZ - Mesa,202,100536.11,14357.28,10399.32,CHANDLER REGIONAL MEDICAL CENTER,85224,1.8,3,4,34,Consumer Satisfaction,CHANDLER,AZ,0.6,0.1176470588235294,Chandler,AZ,42796.0,4571.0,171200.0,62263.0
57,470 - MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,30112,ARIZONA SPECIALTY HOSPITAL,"2905 WEST WARNER ROAD, SUITE 1",CHANDLER,AZ,85224,AZ - Mesa,286,63863.47,13092.15,10536.75,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,85224,2.3,3,33,34,Consumer Satisfaction,CHANDLER,AZ,0.7666666666666666,0.9705882352941176,Chandler,AZ,42796.0,4571.0,171200.0,62263.0
