Provider ID,Hospital name,City,State,Payment,Lower estimate,Higher estimate,Payment category,Value of care display name,Value of care category
50103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,"$18,983","$17,209","$20,942",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
50103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,"$18,850","$17,399","$20,276",No Different Than the National Average Payment,Value of Care Pneumonia measure,Better Mortality and Average Payment
50103,WHITE MEMORIAL MEDICAL CENTER,LOS ANGELES,CA,"$21,825","$20,117","$23,612",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,"$25,894","$23,822","$28,166",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,"$16,309","$15,400","$17,257",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,"$16,941","$16,263","$17,615",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,MONTEREY,CA,"$19,127","$18,630","$19,640",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,"$25,595","$23,888","$27,519",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,"$18,466","$17,627","$19,326",Greater Than the National Average Payment,Value of Care Heart Failure measur,Better Mortality and Higher Payment
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,NEWPORT BEACH,CA,"$18,916","$18,375","$19,529",Greater Than the National Average Payment,Value of Care Pneumonia measure,Better Mortality and Higher Payment
50280,MERCY MEDICAL CENTER REDDING,REDDING,CA,"$26,941","$25,215","$28,686",Greater Than the National Average Payment,Value of Care Heart Attack measure,Worse Mortality and Higher Payment
50280,MERCY MEDICAL CENTER REDDING,REDDING,CA,"$18,019","$17,061","$19,014",No Different Than the National Average Payment,Value of Care Heart Failure measur,Worse Mortality and Average Payment
50280,MERCY MEDICAL CENTER REDDING,REDDING,CA,"$18,225","$17,348","$19,089",No Different Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Average Payment
50280,MERCY MEDICAL CENTER REDDING,REDDING,CA,"$19,375","$18,902","$19,864",Less Than the National Average Payment,Value of Care hip/knee replacement,Better Complications and Lower Payment
50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,"$23,712","$22,317","$25,266",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,"$15,885","$15,069","$16,753",Less Than the National Average Payment,Value of Care Heart Failure measur,Worse Mortality and Lower Payment
50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,"$16,195","$15,516","$16,900",Less Than the National Average Payment,Value of Care Pneumonia measure,Worse Mortality and Lower Payment
50309,SUTTER ROSEVILLE MEDICAL CENTER,ROSEVILLE,CA,"$19,497","$18,984","$20,023",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
50488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,"$24,514","$21,806","$27,511",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
50488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,"$18,500","$17,050","$20,023",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
50488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,"$19,253","$18,053","$20,485",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
50488,EDEN MEDICAL CENTER,CASTRO VALLEY,CA,"$21,859","$20,635","$23,120",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
50567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,"$27,508","$25,519","$29,667",Greater Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Higher Payment
50567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,"$18,727","$17,636","$19,909",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
50567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,"$19,295","$18,476","$20,118",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
50567,MISSION HOSPITAL REGIONAL MED CENTER,MISSION VIEJO,CA,"$20,375","$19,790","$21,003",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
50684,MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,"$25,434","$22,103","$29,312",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
50684,MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,"$18,817","$16,394","$21,723",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
50684,MENIFEE VALLEY MEDICAL CENTER,SUN CITY,CA,"$16,578","$14,580","$18,661",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,DOWNEY,CA,"$19,630","$17,557","$22,015",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
51317,ADVENTIST HEALTH CLEARLAKE,CLEARLAKE,CA,"$15,348","$13,806","$17,102",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
51317,ADVENTIST HEALTH CLEARLAKE,CLEARLAKE,CA,"$17,076","$15,632","$18,617",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
70029,BRISTOL HOSPITAL,BRISTOL,CT,"$23,280","$20,767","$26,042",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
61325,PIONEERS MEDICAL CENTER,MEEKER,CO,"$22,780","$20,213","$25,674",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
70006,STAMFORD HOSPITAL,STAMFORD,CT,"$26,525","$24,257","$28,863",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
70006,STAMFORD HOSPITAL,STAMFORD,CT,"$19,124","$18,035","$20,225",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
70006,STAMFORD HOSPITAL,STAMFORD,CT,"$18,380","$17,471","$19,284",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
70006,STAMFORD HOSPITAL,STAMFORD,CT,"$23,103","$22,175","$24,087",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
70008,JOHNSON MEMORIAL HOSPITAL,STAFFORD SPRINGS,CT,"$17,189","$15,521","$18,912",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
70008,JOHNSON MEMORIAL HOSPITAL,STAFFORD SPRINGS,CT,"$18,335","$16,823","$19,821",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
70008,JOHNSON MEMORIAL HOSPITAL,STAFFORD SPRINGS,CT,"$23,505","$20,840","$26,502",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
70016,SAINT MARY'S HOSPITAL,WATERBURY,CT,"$23,657","$21,499","$26,013",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
70016,SAINT MARY'S HOSPITAL,WATERBURY,CT,"$19,555","$18,363","$20,815",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
70016,SAINT MARY'S HOSPITAL,WATERBURY,CT,"$18,452","$17,514","$19,417",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
70016,SAINT MARY'S HOSPITAL,WATERBURY,CT,"$23,263","$21,904","$24,810",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
70029,BRISTOL HOSPITAL,BRISTOL,CT,"$17,686","$16,454","$18,975",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
70029,BRISTOL HOSPITAL,BRISTOL,CT,"$18,136","$16,895","$19,396",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
70029,BRISTOL HOSPITAL,BRISTOL,CT,"$21,919","$20,716","$23,130",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
80003,ST FRANCIS HOSPITAL,WILMINGTON,DE,"$24,386","$21,606","$27,433",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
80003,ST FRANCIS HOSPITAL,WILMINGTON,DE,"$15,859","$14,419","$17,410",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
80003,ST FRANCIS HOSPITAL,WILMINGTON,DE,"$18,226","$16,743","$19,698",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
80003,ST FRANCIS HOSPITAL,WILMINGTON,DE,"$22,665","$20,295","$25,145",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
80009,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",MILFORD,DE,"$29,055","$25,784","$32,475",Greater Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Higher Payment
80009,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",MILFORD,DE,"$17,822","$16,641","$19,093",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
80009,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",MILFORD,DE,"$18,764","$17,617","$19,940",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
80009,"BAYHEALTH HOSPITAL, SUSSEX CAMPUS",MILFORD,DE,"$19,832","$18,982","$20,691",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
100054,TWIN CITIES HOSPITAL,NICEVILLE,FL,"$16,576","$15,032","$18,342",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
100054,TWIN CITIES HOSPITAL,NICEVILLE,FL,"$16,876","$15,553","$18,211",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
100054,TWIN CITIES HOSPITAL,NICEVILLE,FL,"$21,796","$20,822","$22,833",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
100075,ST JOSEPHS HOSPITAL,TAMPA,FL,"$25,298","$23,781","$26,968",No Different Than the National Average Payment,Value of Care Heart Attack measure,Better Mortality and Average Payment
100075,ST JOSEPHS HOSPITAL,TAMPA,FL,"$19,001","$18,239","$19,783",Greater Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Higher Payment
100075,ST JOSEPHS HOSPITAL,TAMPA,FL,"$18,942","$18,315","$19,588",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
100075,ST JOSEPHS HOSPITAL,TAMPA,FL,"$22,723","$21,827","$23,652",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,"$26,249","$23,832","$28,829",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,"$17,946","$16,563","$19,387",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,"$17,582","$16,139","$18,991",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,DAVENPORT,FL,"$19,886","$19,228","$20,569",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
100183,CORAL GABLES HOSPITAL,CORAL GABLES,FL,"$24,297","$21,107","$28,109",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
100183,CORAL GABLES HOSPITAL,CORAL GABLES,FL,"$18,041","$16,623","$19,520",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
100183,CORAL GABLES HOSPITAL,CORAL GABLES,FL,"$19,526","$17,884","$21,161",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
100183,CORAL GABLES HOSPITAL,CORAL GABLES,FL,"$28,566","$25,113","$32,296",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
100209,KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,"$26,678","$24,054","$29,691",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
100209,KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,"$19,731","$18,270","$21,344",Greater Than the National Average Payment,Value of Care Heart Failure measur,Better Mortality and Higher Payment
100209,KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,"$19,353","$18,131","$20,508",Greater Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Higher Payment
100209,KENDALL REGIONAL MEDICAL CENTER,MIAMI,FL,"$29,177","$26,850","$31,694",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
101300,ADVENTHEALTH WAUCHULA,WAUCHULA,FL,"$18,062","$15,539","$20,851",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
101300,ADVENTHEALTH WAUCHULA,WAUCHULA,FL,"$16,969","$14,617","$19,190",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
101301,SHANDS LIVE OAK REGIONAL MEDICAL CENTER,LIVE OAK,FL,"$18,916","$17,085","$20,978",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
101301,SHANDS LIVE OAK REGIONAL MEDICAL CENTER,LIVE OAK,FL,"$17,570","$15,901","$19,209",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
110030,CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,"$24,709","$22,247","$27,477",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
110030,CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,"$15,767","$14,670","$16,934",Less Than the National Average Payment,Value of Care Heart Failure measur,Better Mortality and Lower Payment
110030,CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,"$17,875","$16,708","$19,020",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
110030,CARTERSVILLE MEDICAL CENTER,CARTERSVILLE,GA,"$20,599","$19,703","$21,513",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,"$24,037","$22,146","$26,177",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,"$16,622","$15,571","$17,741",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,"$17,997","$17,056","$19,048",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,THOMASVILLE,GA,"$23,782","$22,711","$24,884",Greater Than the National Average Payment,Value of Care hip/knee replacement,Worse Complications and Higher Payment
110128,MEADOWS REGIONAL MEDICAL CENTER,VIDALIA,GA,"$24,873","$22,502","$27,549",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
110128,MEADOWS REGIONAL MEDICAL CENTER,VIDALIA,GA,"$14,878","$13,632","$16,318",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
110128,MEADOWS REGIONAL MEDICAL CENTER,VIDALIA,GA,"$17,490","$16,146","$18,830",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
110128,MEADOWS REGIONAL MEDICAL CENTER,VIDALIA,GA,"$24,785","$22,185","$27,736",Greater Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Higher Payment
111335,LIBERTY REGIONAL MEDICAL CENTER,HINESVILLE,GA,"$15,372","$13,280","$17,791",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
111335,LIBERTY REGIONAL MEDICAL CENTER,HINESVILLE,GA,"$18,513","$15,506","$21,346",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
120028,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,"$15,546","$13,637","$17,827",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
120028,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,"$17,779","$15,230","$20,247",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
120028,NORTH HAWAII COMMUNITY HOSPITAL,KAMUELA,HI,"$21,051","$18,877","$23,370",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
140002,ALTON MEMORIAL HOSPITAL,ALTON,IL,"$24,935","$22,047","$28,382",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
140002,ALTON MEMORIAL HOSPITAL,ALTON,IL,"$16,652","$15,633","$17,677",No Different Than the National Average Payment,Value of Care Heart Failure measur,Worse Mortality and Average Payment
140002,ALTON MEMORIAL HOSPITAL,ALTON,IL,"$17,383","$16,350","$18,466",No Different Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Average Payment
140002,ALTON MEMORIAL HOSPITAL,ALTON,IL,"$18,829","$18,124","$19,585",Less Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Lower Payment
140015,BLESSING HOSPITAL,QUINCY,IL,"$26,238","$24,316","$28,275",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
140015,BLESSING HOSPITAL,QUINCY,IL,"$16,142","$15,421","$16,929",Less Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Lower Payment
140015,BLESSING HOSPITAL,QUINCY,IL,"$16,136","$15,576","$16,707",Less Than the National Average Payment,Value of Care Pneumonia measure,Average Mortality and Lower Payment
140015,BLESSING HOSPITAL,QUINCY,IL,"$21,603","$20,529","$22,823",No Different Than the National Average Payment,Value of Care hip/knee replacement,Average Complications and Average Payment
140018,MT SINAI HOSPITAL MEDICAL CENTER,CHICAGO,IL,"$24,588","$21,984","$27,403",No Different Than the National Average Payment,Value of Care Heart Attack measure,Average Mortality and Average Payment
140018,MT SINAI HOSPITAL MEDICAL CENTER,CHICAGO,IL,"$15,647","$14,116","$17,364",No Different Than the National Average Payment,Value of Care Heart Failure measur,Average Mortality and Average Payment
